Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330,14,LOC,M,M,1,1,2,MaBiS-Zählpunkt,LOC+Z15+XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Meldepunkt MaBiS Zählpunkt,X,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,R,99,1,2,Prüfidentifikator,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,15,RFF,M,M,1,1,2,Prüfidentifikator,"RFF+Z13:55065
RFF+Z13:55066
RFF+Z13:55067
RFF+Z13:55069
RFF+Z13:55070
RFF+Z13:55073
RFF+Z13:55195
RFF+Z13:55196
RFF+Z13:55201
RFF+Z13:55202
RFF+Z13:55223
RFF+Z13:55224","MaBiS / Lieferantenclearingliste
MaBiS / Korrekturliste zu Lieferantenclearingliste
MaBiS / Bilanzkreiszuordnungsliste
MaBiS / Clearingliste DZR
MaBiS / Clearingliste BAS
MaBiS / Übermittlung der Profildefinitionen
MaBiS / Bilanzierungsgebietsclearingliste
MaBiS / Antwort auf die Bilanzierungsgebietsclearingliste
Redispatch / LF-AACL
Redispatch / Korrekturliste LF-AACL
MaBiS / DZÜ Liste
MaBiS / Antwort auf DZÜ Liste",X,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,,SG6,C,D,99,1,2,Referenz auf eine Liste,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,16,RFF,M,M,1,1,2,Referenzangaben,RFF+TN:XXXXXXXXXX,Transaktions-Referenznummer,,T,,anfragereferenznummer,,,PROZESSLOGIK,,,,,,,,,X,,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Daten der Summenzeitreihe,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,17,SEQ,M,M,1,1,2,Daten der Summenzeitreihe,SEQ+Z22,Daten der Summenzeitreihe,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,18,RFF,C,D,9,1,3,Versionsangabe der Summenzeitreihe,RFF+AUU:XXXXXXXXXXXXXX,Versionsangabe der Summenzeitreihe,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Bilanzkreis,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,19,CCI,M,R,1,1,3,Bilanzkreis,CCI+Z19++XXXXXXXXXXXXXXXX,Bilanzkreis,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0180,,SG4,C,D,99999,99999,1,Vorgangs-Identifikation,,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0190,20,IDE,M,M,1,1,1,Vorgang,IDE+24+XXXXXXXXXX,Vorgangs-ID,,T,,eingehend: vorgangsnummer / ausgehend -> Nummer erzeugen,,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,DTM,C,D,99,1,2,Datum zum geplanten Leistungsbeginn,DTM+76:CCYYMMDDHHMMZZZ:303,Datum zum geplanten Leistungsbeginn,,T,,datumleistungsbeginn,UTC -> 303,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,22,DTM,C,D,99,1,2,Datum und Uhrzeit der Übergabe,DTM+294:CCYYMMDDHHMMZZZ:303,Datum und Uhrzeit der Übergabe,X,,,transaktionsdaten.datumuebergabe,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,23,DTM,C,D,99,1,2,Beginn zum,DTM+92:CCYYMMDDHHMMZZZ:303,Datum Vertragsbeginn,,"eingehend:
S




ausgehend:
S/T","vertrag.netznutzungsvertrag




",vertragsbeginn,UTC -> 303,serviceStart,SERVICE_DATA,X,X,,X,X,,,,,,,,X,X,,,,,,,,,X,X,X,,X,X,X,X,,X,X,X,X,X,X,X,,X,,X,,X,,X,X,,X,,X,,,,,,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,,X,X,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,,X,X,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,24,DTM,C,D,99,1,2,Ende zum,DTM+93:CCYYMMDDHHMMZZZ:303,Datum Vertragsende,,"eingehend:

S

T (nur PI 55016/55017/55089/55090)

ausgehend:
S/T","vertrag.netznutzungsvertrag




","eingehend:

vertragsende

endezumtermin

ausgehend:

vertragsende",UTC -> 303,,PROZESSLOGIK,X,X,,X,X,,X,X,,X,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X,X,,,,X,X,X,X,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,25,DTM,C,D,99,1,2,Datum des bereits bestätigtem Vertragsende,"DTM+Z05:CCYYMMDDHHMMZZZ:303
DTM+Z06:CCYYMMDDHHMMZZZ:303","Z05 gegenüber Kunde bestätigtes Kündigungsdatum
Z06 gegenüber Lieferant bestätigtes Kündigungsdatum",X,T,,"Z05 -> datumKuendigungKd
Z06 -> datumKuendigungLf",UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,26,DTM,C,D,99,1,2,"Änderung zum, Gültigkeit, Beginndatum",DTM+157:CCYYMMDDHHMMZZZ:303,"Änderung zum, Gültigkeit, Beginndatum",,T,,gueltigAb,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,,X,X,X,X,X,X,X,,X,,X,,X,,X,X,,X,,X,,,,,,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,,,X,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,27,DTM,C,D,99,1,2,Ende zum (nächstmöglichen Termin),DTM+471:CCYYMMDDHHMMZZZ:303,Ende zum (nächstmöglichem Termin),,T,,endezumtermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,28,DTM,C,D,99,1,2,Bilanzierungsbeginn,DTM+158:CCYYMMDDHHMMZZZ:303,Bilanzierungsbeginn,,S,bilanzierung,bilanzierungsbeginn,UTC -> 303,balancingGroup.timeSlice.validFrom,EDM_DATA,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,29,DTM,C,D,99,1,2,Bilanzierungsende,DTM+159:CCYYMMDDHHMMZZZ:303,Bilanzierungsende,,S,bilanzierung,bilanzierungsende,UTC -> 303,balancingGroup.timeSlice.validUntil,EDM_DATA,,X,,,X,,S,S,,,,,X,X,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,30,DTM,C,D,99,1,2,ÜT der Lieferanmeldung des LFN,DTM+154:20250408:102',154 Annahmedatum eines Dokument,,T,,annahmedatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,31,DTM,C,D,99,1,2,Kündigungsfrist des Vertrags,DTM+Z01:03MQ:Z01,Kündigungsfrist des Vertrags (Format ZZRB),,S,vertrag.energieliefervertrag.vertragskonditionen.kuendigungsfrist,zeitraumText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,32,DTM,C,D,99,1,2,Kündigungstermin des Vertrags,"DTM+Z10:CCYYMMDDHHMMZZZ:303
DTM+Z10:MMDD:106",Kündigungstermin des Vertrags,,S,vertrag.energieliefervertrag.vertragskonditionen,kuendigungstermin,UTC -> 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,33,DTM,C,D,99,1,2,Lieferbeginndatum in Bearbeitung,DTM+Z07:CCYYMMDDHHMMZZZ:303,Lieferbeginndatum in Bearbeitung,,T,,lieferbeginndatuminbearbeitung,UTC -> 303,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,34,DTM,C,D,99,1,2,Datum für nächste Bearbeitung,DTM+Z08:CCYYMMDDHHMMZZZ:303,Datum für nächste Bearbeitung,,T,,naechsteBearbeitung,,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,35,STS,C,D,9,1,2,"Transaktionsgrund / Ergänzung / Transaktionsgrund
befristete Anmeldung",STS+7++E01+ZW4+E03,"E01 Ein -/Auszug (Umzug)
E02 Einzug in Neuanlage
E03 Wechsel
E05 Stornierung
E06 Ersatzbelieferung
Z02 Kündigung Lieferantenrahmenvertrag
Z15 Zusätzlicher Datensatz
Z26 Information über existierende Zuordnung
Z33 Auszug wegen Stilllegung
Z36 EoG aus Ein -/Auszug (Umzug)
Z37 EoG wegen Einzug in Neuanlage
Z39 EoG aus vorübergehendem Anschluss
Z41 Ende der ESV ohne Folgelieferung
ZC6 EoG aus Bilanzkreisschließung
ZC7 EoG aufgrund Erlöschen der Zuordnungsermächtigung
ZC8 Beendigung der Zuordnung
ZD9 Beendigung wegen Rückzuordnungsmeldung
ZG5 Aufhebung einer zukünftigen Zuordnung aufgrund §38 EEG 2014 bzw. § 21b Abs. 1 Nr. 2 EEG 2017
ZG6 Beendigung der Zuordnung aufgrund EEG 2014 §38
ZG9 Aufhebung einer zukünftigen Zuordnung wegen Auszug des Kunden
ZH0 Aufhebung einer zukünftigen Zuordnung wegen Anmeldung eines anderen Lieferanten zu einem früheren Termin
ZH1 Aufhebung einer zukünftigen Zuordnung wegen Stilllegung
ZH2 Aufhebung einer zukünftigen Zuordnung wegen aufgehobenem Vertragsverhältnis
ZE3 Stammdatenänderung
ZJ4 Übernahme aufgrund nicht erfolgtem iMS Einbau
ZP3 Stammdaten
ZP4 Werte
ZQ7 Abmeldung wg. fehl. Zuordnungsermächtigung
ZR9 Kündigung aufgrund Vertrag mit Anschlussnehmer
ZT0 Abmeldung wegen fehl. Zuordnungsermächtigung aufgrund Änderung ZRT
ZT4 Ende wegen Kündigung durch LF
ZT5 Ende wegen Kündigung durch Kunde/LFN
ZT6 EoG wegen Kündigung durch LF
ZT7 EoG wegen Kündigung durch Kunde/LFN
ZU1 Änderung von MSB Abrechnungsdaten
ZX2 Abrechnungsdaten BK Abrechnung erzeugender Malo
ZX3 Abrechnungsdaten BK Abrechnung verbrauchender MaLo
ZX4 Abrechnungsdaten NNA
ZX5 Änderung Blindabrechnungsdaten der NeLo
ZX6 Änderung Daten der MaLo
ZX7 Änderung Daten der MeLo
ZX8 Änderung Daten der NeLo
ZX9 Änderung Daten der SR
ZY0 Änderung Daten der TR
ZY1 Änderung Daten der Tranche
ZY2 Änderung der Lokationsbündelstruktur
ZY4 Antwort auf GDA an MSB
ZY5 Antwort auf GDA (Strom an Gas)
ZY6 Antwort auf GDA erzeugende MaLo
ZY7 Antwort auf GDA verbrauchende MaLo
ZY9 Daten auf individuelle Bestellung
ZAM Stammdaten BK Treue
ZAN Korrektur Abrechnungsdaten BK Abrechnung verbrauchender MaLo
ZAO Korrektur Abrechnungsdaten BK Abrechnung erzeugender MaLo
+
ZW0 Geschäftsvorfall 1 (Anmeldung 100%)
ZW1 Geschäftsvorfall 2
ZW2 Geschäftsvorfall 3
ZW3 Erzeugende Marktlokation
ZW4 Verbrauchende Marktlokation
ZW5 Tranche
ZW6 Pauschale Marktlokation
ZW7 Gemessene Marktlokation
ZW8 Fall 1
ZW9 Fall 2
ZX0 Fall 3
ZX1 Fall 4
ZAP ruhende Marktlokation
+
E01 Ein -/Auszug (Umzug)
E03 Wechsel
",,T,,"transaktionsgrund
transaktionsgrundergaenzung
transaktionsgrundergaenzungBefristeteAnmeldung",1:1,,PROZESSLOGIK,"E01
E02
E03
ZD2","E01
E02
E03
ZD2","E01
E02
E03
ZD2","E01
E03
Z33
Z41
ZG9
ZH1
ZH2","E01
E03
Z33
Z41
ZG9
ZH1
ZH2","E01
E03
Z33
Z41
ZG9
ZH1
ZH2","Z33
ZQ7
ZT0","Z33
ZQ7
ZT0","Z33
ZQ7
ZT0","E01
E03
ZD2","E01
E03
ZD2","E01
E03
ZD2","E06
Z02
Z36
Z37
Z38
Z39
ZC6
ZC7","E06
Z02
Z36
Z37
Z38
Z39
ZC6
ZC7","E06
Z02
Z36
Z37
Z38
Z39
ZC6
ZC7",E05,E05,E05,Z40,Z40,Z26,ZC8,"ZC9
ZH0
ZH1",ZE6,ZE6,ZE6,ZS7,ZF7,ZE7,ZE7,ZE7,ZS3,ZS3,ZS,ZS5,ZE8,ZE8,ZE8,ZE8,ZE9,ZE9,ZF0,ZF0,ZF1,ZF1,ZG7,ZG7,ZG7,"ZI8
ZP6","ZI8
ZP6",ZI9,ZI9,"ZP0
ZP1
ZP2
ZR6","ZP0
ZP1
ZP2
ZR6","ZP0
ZP1
ZP2
ZR6","E03
Z33
ZF1","E03
Z33
ZF1","E03
Z33
ZF1",ZF3,ZF3,ZF3,ZF3,ZF3,ZF3,ZS8,ZS8,ZS8,ZF4,ZF4,ZF4,ZS4,ZS4,ZS4,ZS6,ZS6,ZS6,ZS5,ZS5,ZS5,ZS5,ZF5,ZF5,ZF5,ZF6,ZF6,ZF6,ZF7,ZF7,ZF7,ZF8,ZF8,ZG8,ZG8,ZG8,ZG8,ZG8,ZG8,ZJ0,ZJ0,ZJ1,ZJ1,ZJ1,ZE3,ZE3,ZE3,"E03
ZR9","E03
ZR9","E03
ZR9","E01
E02
E03
ZJ4","E01
E02
E03
ZJ4","E01
E02
E03
ZJ4","E01
E02
E03","E01
E02
E03","E01
E02
E03","E01
E03
Z33
ZG9
ZH1
ZH2","E01
E03
Z33
ZG9
ZH1
ZH2","E01
E03
Z33
ZG9
ZH1
ZH2",Z40,Z40,ZE5,"Z15
ZE3
ZE4",ZE5,"Z15
ZE3
ZE4","Z15
ZE3
ZE4
ZE5",ZE5,"Z15
ZE3
ZE4","Z15
ZE3
ZE4
ZE5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,36,STS,C,D,9,9,2,Status der Antwort,STS+E01++A01:E_0004::2,"E01 Status der Antwort
+
EBD Nr. X_XXXX
+
Zeitraum ID",,"T
","






","antwortstatus
antwortstatusCodeliste





(Wenn STS 9012 mit Zeitraum-ID vorhanden) 

antwortStatusZeitraum[].code
antwortStatusZeitraum[].liste
antwortStatusZeitraum[].zeitraumId
",n.v.,,PROZESSLOGIK,,X,X,,X,X,,X,X,,X,X,,X,X,,X,X,,,,,,,,X,,S_0015,,,X,,S_0005,,S_0005,,,,X,,X,,X,,X,,,X,,S_0014,,X,,,X,,,E_0450,,X,X,,,X,,S_0031,S_0031,,,X,,S_0021,S_0021,,S_0021,S_0021,,,X,X,,,X,,X,X,,X,X,,X,,X,X,,,X,,S_0028,,X,X,,S_0029,S_0030,,X,X,,X,X,,X,X,,X,X,,,,,,,GS_001,,,S_0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,37,STS,C,D,9,9,2,Status der Antwort des dritten Marktbeteiligten,STS+Z35++A32:E_0624+ZW5 :::50074561188,"Z35 Status der Antwort des dritten Marktbeteiligten
+
EBD Nr. X_XXXX
+
ZW5 Tranche
ZW3 Erzeugende Marktlokation
+
Referenz auf ID der Marktlokation / Tranche",,T,,"antwortstatusdritter
antwortstatusdritterCodeliste
antwortstatusdritterBetroffeneLokation
antwortstatusdritterReferenz",n.v.,,PROZESSLOGIK,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
