Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,133,CCI,M,M,1,1,3,Fallgruppenzuordnung,"CCI+++Z17:GABi-RLMmT
CCI+++Z17:GABi-RLMoT
CCI+++Z17:GABi-SLPana
CCI+++Z17:GABi-SLPsyn","RLM-Kunde in Tagesregime - Exit
RLM-Kunde im Stundenregime - Exit
SLP-Kunden analytisches Verfahren - Exit
SLP-Kunden synthetisches Verfahren - Exit",X,,,,,,DECLIST_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Kunde des Lieferanten,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,Muss,Muss,,Soll,Kann,Soll,,,,Soll,,,,,S,,,,,,,,,,,,,,,,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll S,,Soll S,Soll S,,,,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,134,NAD,M,M,1,1,2,Kunde des Lieferanten,"NAD+Z09+++Max:Mustermann::::Z01
NAD+Z09+++Firma AG:Musterfirma::::Z02","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,"vertrag.energieliefervertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"")","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName",PARTNER_DATA,X,X,,,,,,,,X,,,X,X,,X,X,X,,,,X,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,135,RFF,C,D,9,1,3,Kundennummer beim Lieferanten,RFF+AVC:KDXXXXXXXXXX,Kundennummer beim Lieferanten,,S,"vertrag.energieliefervertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"")","exRefName = ""Kundennummer beim Lieferanten""
exRefWert",,,PROZESSLOGIK,K,S,,,,,,,,,,,,,,,,,,,,K,,,,,K,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,136,RFF,C,D,9,1,3,Kundennummer beim Altlieferanten,RFF+Z01:KDXXXXXXXXXX,Kundennummer beim Altlieferanten,,S,"vertrag.energieliefervertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"")","exRefName = ""Kundennummer beim Altlieferanten""
exRefWert",,,PROZESSLOGIK,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Korrespondenzanschrift des Kunden des Lieferanten,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll S,,Soll S,Soll S,,,,,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,137,NAD,M,M,1,1,2,Korrespondenzanschrift des Kunden des Lieferanten,"NAD+Z04+++Fank Müller:::::Z01+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE
NAD+Z04+++Firma Meier:::::Z02+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,vertrag.energieliefervertrag.korrespondenzpartner,"anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.postfach
partneradresse.hausnummer
lpartneradresse.landescode
partneradresse.ortsteil",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,X,X,,,,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Kunde des Messstellenbetreibers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,Kann S,Soll S,,Soll S,Kann,Soll,,,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,138,NAD,M,M,1,1,2,Kunde des Messstellenbetreibers,"NAD+Z07+++Max:Mustermann::::Z01
NAD+Z07+++Firma AG:Musterfirma::::Z02","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,"vertrag.messstellenbetriebsvertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"")","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName",PARTNER_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Korrespondenzanschrift des Kunden des Messstellenbetreibers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,Kann S,Soll S,,Soll S,Kann,Soll,,,,,,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,139,NAD,M,M,1,1,2,Korrespondenzanschrift des Kunden des Messstellenbetreibers,"NAD+Z08+++Fank Müller:::::Z01+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE
NAD+Z08+++Firma Meier:::::Z02+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,vertrag.messstellenbetriebsvertrag..korrespondenzpartner,"anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.hausnummer
partneradresse.landescode
partneradresse.ortsteil
partneradresse.postfach",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Kunde des Netzbetreibers,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,140,NAD,M,M,1,1,2,Kunde des Netzbetreibers,"NAD+Z25+++Max:Mustermann::::Z01
NAD+Z25+++Firma AG:Musterfirma::::Z02","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,"vertrag.netznutzungsvertrag.vertragspartner2.GESCHAEFTPARTNER (GP-Rolle=""KUNDE"") ","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Korrespondenzanschrift des Kunden des Netzbetreibers,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,141,NAD,M,M,1,1,2,Korrespondenzanschrift des Kunden des Netzbetreibers,"NAD+Z26+++Fank Müller:::::Z01+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE
NAD+Z26+++Firma Meier:::::Z02+Wohnstrasse::25:Musterortsteil+Musterstadt++55555+DE","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,vertrag.netznutzungsvertrag..korrespondenzpartner,"anrede
name1
name2
name3
name4
gewerbekennzeichnung
postleitzahl
ort
strasse
hausnummer
landescode
ortsteil",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Netzanschlusseigentümer,,,,,,,,,,,,,,,,,,,,,,Kann,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,142,NAD,M,M,1,1,2,Anschlussnehmer,"NAD+EO+++Huber:Karlheinz:::Dr.:Z01+Teststraße::815b:X+Entenhausen++10010+DE
NAD+EO+++Firma:Meyer::::Z02+Teststraße::815b:X+Entenhausen++10010+DE","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,marktlokation.eigentuemer,"geschaeftspartnerrolle = ""EIGENTUEMER""
anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.hausnummer
partneradresse.landescode
partneradresse.ortsteil",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Hausverwalter,,,,,,,,,,,,,,,,,,,,,,Kann,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,143,NAD,M,M,1,1,2,Hausverwalter,"NAD+DDO+++Huber:Karlheinz:::Dr.:Z01+Teststraße::815b:X+Entenhausen++10010+DE
NAD+DDO+++Firma:Meyer::::Z02+Teststraße::815b:X+Entenhausen++10010+DE","Struktur von Personennamen
Struktur der Firmenbezeichnung",,S,marktlokation.hausverwalter,"geschaeftspartnerrolle = ""HAUSVERWALTER""
anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.hausnummer
partneradresse.landescode
partneradresse.ortsteil",,"businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Beteiligter Marktpartner MP-ID,,,,,,,,,PROZESSLOGIK,,,Muss,,,,,,,Muss,,,,,,,,,,,,,,Muss,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,144,NAD,M,M,1,1,2,Beteiligter Marktpartner MP-ID,NAD+VY+XXXXXXXXXXXXX::9,andere zugehörige Partei,,T,beteiligterMarktpartner,"rollencodenummer
rollencodetyp","9 = GLN
332 = DVGW",,PROZESSLOGIK,,,X,,,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Marktlokationsanschrift,,,,,,,,,,Soll,Muss,,,,,,,,,,,Muss,Muss,,Muss,Kann ,Soll,,,,Muss,,,,,,Soll,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,145,NAD,M,M,1,1,2,Marktlokationsanschrift,NAD+DP++Die Marktlokation befindet sich i:m Hinterhaus im u:nteren K:eller recht:s++Eichelbergstr.::36:Musterortsteil+Musterstadt++55555+DE,Marktlokationsanschrift,,S,marktlokation.lokationsadresse,"
postleitzahl
ort
strasse
hausnummer
postfach
adresszusatz
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1
zusatzInformation.zusatz2
zusatzInformation.zusatz3
zusatzInformation.zusatz4
zusatzInformation.zusatz5","Z06 <-> EINSP
Z07 <-> AUSSP","maloAddressData.streetName
maloAddressData.houseNumber
maloAddressData.houseNumberSupplement
maloAddressData.cityName
maloAddressData.postalCode
maloAddressData.countryCode
maloAddressData.locationSupplement",MALO_DATA,X,X,,,,,,,,,,,X,X,,X,X,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,1,2,Messlokationsadresse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll S,,,,,,,,,,,,,,,,,,,,,Kann S,Soll S,,Soll S,Kann ,Soll,,,,Soll,Muss,,Soll,Muss,,Soll,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,146,NAD,M,M,1,1,2,Messlokationsadresse,NAD+Z03++Hinter:hof gan:z am En:de lin:ks++Ferritplatz:X:27a:X+Eisenstadt++54321+DE,Messlokationsanschrift,,S,messlokation.messadresse,"
postleitzahl
ort
strasse
hausnummer
postfach
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1
zusatzInformation.zusatz2
zusatzInformation.zusatz3
zusatzInformation.zusatz4
zusatzInformation.zusatz5","Z06 <-> EINSP
Z07 <-> AUSSP",,MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,9,2,Name und Adresse für die Ablesekarte,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,Soll,Kann,Muss,,,,,,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,147,NAD,M,M,1,1,2,Name und Adresse für die Ablesekarte,"NAD+Z05+++Max:Mustermann::::Z01+Industriestr.::81:Musterorsteil+Ettlingen++76275+DE
NAD+Z05+++Gbr. Haak Flanschen KG::z.Hd. Hausmeister:::Z02+Industriestr.::81:Musterorsteil+Ettlingen++76275+DE",Adresse Ablesekarte,,S,messlokation.ablesekartenempfaenger,"geschaeftspartnerrolle = ""ABLESEKARTENEMPFAENGER""
anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.
.postleitzahl
.ort
.strasse
.hausnummer
.adresszusatz
.landescode
.ortsteil",,"maloAddressData.streetName
maloAddressData.houseNumber
maloAddressData.houseNumberSupplement
maloAddressData.cityName
maloAddressData.postalCode
maloAddressData.countryCode
maloAddressData.locationSupplement",PARTNER_DATA,X,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,148,RFF,C,D,9,9,3,Referenz auf die ID einer Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,messlokation,messlokationsId,,meloDesignation,PARTNER_DATA,Kann,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0670,149,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+21+172147',Nachrichtendatum/ -zeit,,T,,nachrichtenreferenznummer,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNZ,,,,,,,UNZ+1+689022',,,T,,datenaustauschreferenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
