0130,38,NAD,M,M,1,1,1,Kunde des Lieferanten,NAD+Z09+++Mustermann:Karl:::Dr.:Z01,Kunde des LF (Z01 Stuktur Personenname; Z02 Struktur Firmenbezeichnung),S,"ENERGIELIEFERVERTRAG.vertragspartner2[geschaeftspartnerrolle=""KUNDE""]","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,,,x ^ k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0160,,SG3,C,D,99,1,2,Kundenummer beim Lieferanten, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,39,RFF,M,M,1,1,2,Kundenummer beim Lieferanten,RFF+AVC:KD_NB_09881,Kundennummer beim Lieferanten,S,"ENERGIELIEFERVERTRAG.vertragspartner2[geschaeftspartnerrolle=""KUNDE""]","exRefName = ""Kundennummer beim Lieferanten""
exRefWert",,,,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0220,,SG5,C,D,5,5,2,Kontaktdaten des Kunden, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,40,CTA,M,M,1,1,2,Kontaktdaten des Kunden,CTA+IC+:X,IC Informationsstelle,T,ansprechpartnerKunde,nachname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,41,COM,C,R,5,5,3,Kommunikationsverbindung,"COM+xx.de:EM
COM+?+49123462343:FX
COM+?+49123462343:TE
COM+?+49123462343:AJ
COM+?+49123462343:AL","EM E Mail
FX Telefax
TE Telefon
AJ weiteres Telefon
AL Handy",T.ansprechpartnerKunde,"bei EM = eMailAdresse
bei other = rufnummern.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Kunde des Messstellenbetreibers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,42,NAD,M,M,1,1,1,Kunde des Messstellenbetreibers,NAD+Z07+++Mustermann:Karl:::Dr.:Z01,Kunde des MSB (Z01 Stuktur Personenname; Z02 Struktur Firmenbezeichnung),S,"MESSSTELLENBETRIEBSVERTRAG.vertragspartner2[geschaeftspartnerrolle=""KUNDE""]","anrede
name1
name2
name3
name4
gewerbekennzeichnung",,,,,x ^ k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,D,99,1,1,Adresse für Treffpunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,43,NAD,M,M,1,1,1,Adresse für Treffpunkt,NAD+Z24++Hinterhof:ganz:am:Ende:links++Musterstrasse::123:Testortsteil+Testort++12345+DE,Treffpunkt,S,sperrauftrag.treffpunkt,"postleitzahl
ort
strasse
hausnummer
postfach
adresszusatz
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1-5",,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,
